ISBN,Book Title,Authors,Book Publisher,Price,Categories,Total Quantity,Available
1847941834,Atomic Habits,James Clear,Random House Business Books,445,"Productivity,Start-Up / Entrepreneurship",10,10
9781590000000,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sienk,Portfolio,608,Biographies / Business Stories,1,1
9780310000000,The Lean Startup,Eric Ries,Currency,984,Productivity,1,1
446576220,Delivering Happiness,Tony Hsieh,Grand Central Publishing,679,Productivity,7,8
385349947,"Lean In: Women, Work, and the Will to Lead",Sheryl sandberg,Knopf,1277,Productivity,1,1
150112174X,Sprint (How to Solve Big Problems and Test New Ideas in Just Five Days),Jake Knapp,Simon & Schuster,686,Biographies / Business Stories,1,1
62407619,"Play Bigger: How Pirates, Dreamers, and Innovators Create and Dominate Markets",Kevin Maney,Harper Business,2268,Productivity,1,1
045149721X,Hacking Growth: How Today&#039;s Fastest-Growing Companies Drive Breakout Success,Morgan Brown,Currency,680,Biographies / Business Stories,1,1
62407805,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,Harper Business,1413,Sales / Marketing,1,1
006230125X,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,Ecco,827,Self-Improvement,1,1
743270754,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,Simon & Schuster,680,Sales / Marketing,1,1
1625274491,Blue Ocean Strategy,W. Chan Kim,Harvard Business Review Press,334,"Leadership,Productivity,Strategy",5,5
374533555,"Thinking, Fast and Slow",Daneil Kahamen,"Farrar, Straus and Giroux",1304,"Productivity,Self Help",5,5
1529038340,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Scott,St. Martin's Press,434,Sales / Marketing,5,5
525533087,"Girl Code: Unlocking the Secrets to Success, Sanity, and Happiness for the Female Entrepreneur",Cara Alwill Leyba,Portfolio,853,"Self-Improvement,Start-Up / Entrepreneurship",1,1
9780553383713,Emotional Intelligence: Why It Can Matter More Than IQ,Danial Goleman,Bantam,779,Productivity,5,5
817649030X,The 48 Laws of Power,BoB Dorf,Penguin Books,330,Sales / Marketing,1,1
9780241217931,#GIRLBOSS,Sophia Amoruso,Portfolio,336,Strategy,1,1
9780066620992,Good to Great: Why Some Companies Make the Leap and Others Don&#039;t,Jim Collins,HarperBusiness,708,"Productivity,Start-Up / Entrepreneurship,Strategy",1,1
9781785041273,Tools of Titans,Timmothy Feries,Random House,799,"Biographies / Business Stories,Productivity,Self Help,Start-Up / Entrepreneurship",5,5
62273205,The Hard Thing about Hard Thing,Ben Horowitz,Harper Business,433,Sales / Marketing,1,1
9780804139298,Zero to One,Peter Theile,Random House,199,"Business & Economics,Leadership,Management,Productivity,Sales / Marketing,Start-Up / Entrepreneurship",5,5
142219602X,Innovator's Dilemma: When New Technologies Cause Great Firms to Fail, Clayton M. Christensen,Harvard Business,720,"Productivity,Start-Up / Entrepreneurship",5,5
1119551447,Testing Business Ideas,David Bland,Wiley,2100,"Productivity,Start-Up / Entrepreneurship,Strategy",1,1
241184835,Hooked,Nir Eyal,Portfolio Penguin,399,"Productivity,Sales / Marketing",5,5
1471195708,The 7 Habits of Highly Effective People,Stephen R Covey,Free Press,449,"Leadership,Productivity,Self Help",5,5
9780890000000,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,Harper Business,144,Start-Up / Entrepreneurship,1,1
989200507,The Four Steps to the Epiphany,Steve Blank,K & S Ranch,1605,Start-Up / Entrepreneurship,1,1
1949709612,Building: Lessons Learned in Real Estate & Life by Brian Watson,Brain Whatson,Harper Business,710,Biographies / Business Stories,1,1
62565087,How We Work,Leah Weiss,Harper Wave,1360,Biographies / Business Stories,1,1
738285722,Dare to Inspire,Alliaz Holer,Da Capo Lifelong Books,1353,Sales / Marketing,1,1
1733042911,No Place Like Known,Megan Valentine,Aradaya Publishing,1130,Start-Up / Entrepreneurship,1,1
830845747,Discover Joy in Work,Shuddrwan Thomas,IVP Books,677,Biographies / Business Stories,1,1
1260456803,The Big Stretch,Jackson Warner,McGraw-Hill Education,1890,Biographies / Business Stories,1,1
1950906086,Startups and Downs,Mona Bijoor,Indigo River Publishing,1088,Biographies / Business Stories,1,1
990563642,Flip the Script,Coyte G Cooper,Earn the Right Incorporated,1890,Sales / Marketing,1,1
1792306687,Ignite Your Life for Conscious Leaders,4 authors,Jbo Global,2042,Strategy,1,1
1940858763,Limitless,Laura Otting,Ideapress Publishing,1261,Strategy,1,1
194878789X,Wholehearted,Adnam H Mirza,Lifestyle Entrepreneurs,1357,Strategy,1,1
1707888620,Secrets of Self-Made Millionaires,Mathew R Kratter,Independently published,528,Strategy,1,1
140021128X,When Less Becomes More,Emiley Ley,Thomas Nelson,907,Self Help,1,1
62935739,The Source,Tara Swart,HarperOne,1209,Biographies / Business Stories,1,1
198905935X,Just Do You,Lisa King,Ingenium Books,1133,Strategy,1,1
1119579775,The Self-Reliant Entrepreneur,John Jantsch,Wiley,0,Strategy,1,1
1732265100,High Growth Handbook,Elad Gil,Stripe Press,1295,Strategy,1,1
9780060000000,The Hard Thing About Hard things,Ben Horowitz,Harper Business,1234,Strategy,1,1
1501135929,Shoe Dog,Phil Knight,Simon & Schuster,310,"Biographies / Business Stories,Start-Up / Entrepreneurship",5,5
9780679762881,High Output Management,Andrew S. Grove,Vintage,434,"Sales / Marketing,Start-Up / Entrepreneurship,Strategy",1,1
61735361,The Big Leap,Gay Hendricks,Harper Collins,235,Sales / Marketing,5,5
8172234996,The One Minute Manager,"Kenneth H. Blanchard,Spencer Johnson",Harpercollins,145,"Leadership,Management",5,5
,A Thread On Leadership,Ankur Warikoo,Ankur Warikoo,0,"Leadership,Management",99,99
1472981863,Digital Trust: Social Media Strategies to Increase Trust and Engage Customers,Barry Connolly,Bloomsbury Business,499,"Productivity,Sales / Marketing",5,5
,Social Media Success for Every Brand: The Five StoryBrand Pillars That Turn Posts Into Profits,,,,,,
,Multipliers: How the Best Leaders Make Everyone Smarter ,,,,,,
,The Two-Minute Revolution: The Art of Growing Businesses,,,,,,
,"Practical Genius: A 5-Step Plan to Turn Your Talent and Passion into Success (Identify, Express, Surround, Sustain, Market Your Genius)",,,,,,
,"How to Get Published in India: Your go-to guide to write, publish and sell your book with tips and insights from industry experts",,,,,,
,"The Ultimate Marketing & PR Book: Understand Your Customers, Master Digital Marketing, Perfect Public Relations (Teach Yourself) ",,,,,,
,Making Marketing Music: Integrated Marketing Communications at Work,,,,,,
,Creative Schools: Revolutionizing Education from the Ground Up,,,,,,
,Purple Cow: Transform Your Business by Being Remarkable,,,,,,
,Campus To Corporate: A Concise Street Smart Guide To World Class Career Success,,,,,,
,Secrets - Selling: The experts tell all,,,,,,
,Xiaomi: How a Startup Disrupted the Market and Created a Cult Following,,,,,,
,BE A Supermarketwala,,,,,,
,Core Selling Skills: Because Selling Is All About People,,,,,,
,"42 Rules for a Web Presence That Wins: Business Strategy, Web Strategy, Website, Social Media, Internet Marketing, Online Marketing, Web Presence, Web Analytics",,,,,,
,42 Rules of Marketing: A Funny Practical Guide with the Quick and Easy Steps to Success,,,,,,
,The Everything Store: Jeff Bezos And The Age Of Amazon,,,,,,
,"The $100 Startup: Fire Your Boss, Do What You Love and Work Better To Live More",,,,,,
,The Little Book of Talent,,,,,,
,Rokda: How Baniyas Do Business,,,,,,
,Zen Garden: Conversations with Pathmakers,,,,,,
,EVERYTHING STARTED AS NOTHING: How to Win the Start-up Battle,,,,,,
,"The Leader in Me: How Schools and Parents Around the World are Inspiring Greatness, One Child at a Time",,,,,,
,The World's Best Business Ideas,,,,,,
